category,text
sport,minister digs in over doping row the belgian sports minister at the centre of the svetlana kuznetsova doping row says he will not apologise for making allegations against her.  claude eerdekens claims the us open champion tested positive for ephedrine at an exhibition event last month. criticised for making the announcement  he said:  i will never apologise. this product is banned and it s up to her to explain why it s there.  kuznetsova says the stimulant may have been in a cold remedy she took. the russian said she did nothing wrong by taking the medicine during the event. the women s tennis association cleared kuznetsova of any offence because the drug is not banned when taken out of competition.  eerdekens said he made the statement in order to protect the other three players that took part in the tournament  belgian justine henin-hardenne  nathalie dechy of france and russia s elena dementieva. but dechy is fuming that she has been implicated in the row.  how can you be happy when you see your face on the cover page and talking about doping   dechy said.  i m really upset about it and i think the belgian government did a really bad job about this.  i think we deserve an apology from the guy. you cannot say anything like this - you cannot say some stuff like this  saying it s one of these girls. this is terrible.  dementieva is also angry and says that dechy and herself are the real victims of the scandal.  you have no idea what i have been through all these days. it s been too hard on me   she said.  the wta are trying to handle this problem by saying there are three victims  but i see only two victims in this story - me and nathalie dechy  who really have nothing to do with this.  to be honest with you  i don t feel like i want to talk to sveta at all. i m just very upset with the way everything has happened.
business,lse doubts boost bidders  shares shares in deutsche boerse have risen more than 3% after a shareholder fund voiced opposition to the firm s planned takeover of the london stock exchange.  tci  which claims to represent owners of 5% of deutsche boerse s (db) shares  has complained that the £1.35bn ($2.5bn) offer for the lse is too high. opposition from tci has fuelled speculation that the proposed takeover could fail. rival exchange operator euronext has also said it may bid for the lse. euronext operates the paris  amsterdam  brussels and lisbon bourses  while deutsche boerse runs the frankfurt exchange.  bbc news spoke to a number of analysts on monday morning about shareholder worries over deutsche boerse s bid for lse. although none were prepared to speak on the record  most thought it was unlikely that tci s opposition would halt the deal   obviously we ll have to wait and see  but i don t think it will make much difference. deutsche boerse appears very committed   said one london-based broker. he forecast the takeover bid would succeed and was more concerned to see improvements in the daily running of the lse. in voicing its opposition to the planned takeover  tci said it would prefer to see deutsche boerse return $500m (£350m) to shareholders. the deutsche boerse was prepared to pay for the lse  exceeds the potential benefits of this acquisition   said tci.  another deutsche boerse shareholder on monday also appeared to back tci s call. another investor in deutsche boerse has supported the view that a payout to shareholders would be preferable to deutsche boerse overpaying for the lse  reuters news agency reported.  we prefer a sensible entrepreneurial solution at a price that is not too high   said rolf dress  a spokesman for union investment.  if that cannot be achieved  then we would wish for a distribution of liquid assets to shareholders.  the financial times also reported a third deutsche boerse shareholder as opposed to the deal. it quoted a spokesman for us-based hedge fund atticus capital complaining that the planned takeover appeared to be motivated by  empire-building  rather than the best interests of shareholders.  tci has called for deutsche boerse to hold an emergency general meeting to discuss the bid for lse. yet under german business law  db does not have to gain shareholder approval before making a significant acquisition. deutsche boerse said tci s opposition would not change its bid approach.  deutsche boerse is convinced that its contemplated cash acquisition of the london stock exchange is in the best interests of its shareholders and the company   it said. db s shares were up 3.4% to 45.25 euros by 1030 gmt  the highest gainer in frankfurt.
sport,chelsea clinch cup in extra-time (after extra-time - score at 90 mins 1-1)  john arne riise volleyed liverpool ahead after 45 seconds but steven gerrard scored a 79th-minute own goal. blues boss jose mourinho was sent off for taunting liverpool fans after the goal and he watched on television as his side went on to win the game. drogba and kezman scored from close range before antonio nunez s header made for a tense finale. it was an amazing climax which gave mourinho his first silverware as chelsea manager. yet it was controversial too  after mourinho s sending off  apparently for putting his finger to his lips to hush the liverpool fans. there was no hushing them after the extraordinary opening in which the reds took a stunning lead inside the first minute.  riise could not have connected any better with morientes  cross as he smashed a left-foot volley past petr cech. the goal  the quickest-ever in a league cup final  stunned a blues side whose previously rock-solid confidence had been shaken by consecutive losses to newcastle and barcelona in the previous week. the blues  attacking chances were limited  and jerzy dudek was equal to frank lampard s powerfully-struck drive and drogba s low shot. despite their frustration  chelsea began to dominate midfield without seriously threatening to break liverpool s well-organised defence.  joe cole had a shot blocked and a promising damien duff break was halted by a good tackle from djimi traore  but the reds reached half-time without any major scares. the blues began the second half with more urgency and pegged liverpool back. nevertheless  liverpool were living dangerously and they needed a fantastic double save from dudek on 54 minutes  first at full stretch from gudjohnsen s header  then to smother william gallas  follow-up. and despite chelsea s possession  it was liverpool who fashioned the next clear opportunity as luis garcia fed dietmar hamann whose shot forced a superb save from cech. and the blues  increasingly adventurous approach saw liverpool earn another chance on the break on 75 minutes as paulo ferreira denied gerrard with a last-ditch tackle. but gerrard was on the scoresheet minutes later - in the most unfortunate fashion - as he inadvertently deflected ferrerira s free-kick past his own keeper and in off the post to bring chelsea level. that prompted mourinho s reaction which saw him sent off  but chelsea still pressed and duff had a chance to win the game with seven minutes remaining. dudek saved bravely at the irishman s feet  while milan baros shot wildly at the other end to ensure extra time. drogba almost headed chelsea in front two minutes into extra-time but the striker saw the ball rebound off the post. but seconds after the half-time interval  drogba made no mistake  picking the ball up from glen johnson s long throw inside the six-yard box and sidefooting home. and kezman appeared to have made the game safe as he netted from close range after gudjohnsen s cross in the 110th minute. there was still drama as nunez beat cech to a high ball with six minutes remaining to head his side level  but despite liverpool s desperate attacks  chelsea clung on to win.  dudek  finnan  carragher  hyypia  traore (biscan 67)  luis garcia  gerrard  hamann  riise  kewell (nunez 56)  morientes (baros 74).  subs not used: pellegrino  carson.  hyypia  traore  hamann  carragher.  riise 1  nunez 113.  cech  paulo ferreira  ricardo carvalho  terry  gallas (kezman 74)  jarosik (gudjohnsen 45)  lampard  makelele  cole (johnson 81)  drogba  duff.  subs not used: pidgeley  tiago.  lampard  kezman  drogba  duff.  gerrard 79 og  drogba 107  kezman 112.  78 000  s bennett (kent).
business,air passengers win new eu rights air passengers who are unable to board their flights because of overbooking  cancellations or flight delays can now demand greater compensation.  new eu rules set compensation at between 250 euros (£173) and 600 euros  depending on the length of the flight. the new rules will apply to all scheduled and charter flights  including budget airlines. airlines have attacked the legislation saying they could be forced to push prices higher to cover the extra cost. the european commission is facing two legal challenges - one from the european low-fare airlines association (elaa) and the other from the international air transport association (iata)  which has attacked the package as a  bad piece of legislation . previously  passengers could claim between 150 euros and 300 euros if they had been stopped from boarding.  however  only scheduled flight operators were obliged to offer compensation in cases of overbooking and they did not have to offer compensation for flight cancellations.  the eu decided to increase passenger compensation in a bid to deter airlines from deliberately overbooking flights. overbooking can often lead to  bumping  - when a passenger is moved to a later flight. when this happens against a passenger s will  airlines will now have to offer compensation. in addition  if a flight is cancelled or delayed for more than two hours through the fault of the airline  all passengers must be paid compensation.  however  airlines do not have to offer compensation if flights are cancelled or delayed due to  extraordinary circumstances . airlines fear that  extraordinary circumstances  may not include bad weather  security alerts or strikes - events which are outside of their control. all eu-based airlines and operators of flights which take off from the eu will have to adhere to the new compensation regime which came into force on thursday. low-cost airlines have criticised the new compensation levels  arguing that the pay-out could be worth more than the ticket.  it s a preposterous piece of legislation  we among all airlines are fighting this   ryanair deputy chief executive michael cawley told radio 4 s today programme.  the european regions airline association (eraa) claims that neither airlines nor consumers were consulted over the changes. andy clarke  eraa director of air transport  said that the ec advice misleads customers as it leads them to believe that airlines could be liable for payouts if flights are delayed because of bad weather.  ec spokeswoman marja quillinan-meiland conceded there were  grey areas  but said  these are not as big as the airlines are making out . in cases of dispute  national enforcement bodies would decide whether the passenger had a case  she said. new technology means it is easier for airlines to take off and land in bad weather  she added. the eraa s mr clarke also warned that while airlines would comply with the new rules  the extra costs would be passed onto passengers.  we reckon it s going to cost european air passengers - not the airlines  the airlines have no money  it has to be paid by passengers - 1.5bn euros  that s over £1bn a year loaded onto european passengers   mr clarke said.  that s basically a transfer of money from passengers whose journeys are not disrupted to passengers whose journeys are disrupted.   on wednesday  jacques barrot  vice president of the european commission and also commissioner for transport  said that the changes were necessary.  the boom in air travel needs to be accompanied by proper protection of passengers  right.   this is a concrete example of how the union benefits people s daily lives   he added. the ec has launched an information campaign in airports and travel agencies to inform airline passengers of their new rights.
entertainment,eastwood s baby scoops top oscars clint eastwood s million dollar baby beat martin scorsese s the aviator to the top awards at the oscars on sunday.  the boxing drama was named best picture and eastwood pipped scorsese to best director  while its stars hilary swank and morgan freeman won acting awards. the aviator took five prizes including best supporting actress for cate blanchett. the biopic of howard hughes led the nominations with 11. jamie foxx picked up best actor for playing soul star ray charles in ray. many expected this to be scorsese s year - but he was unsuccessful in the best director category for the fifth time in his career.  he has never won despite being nominated for such films as raging bull and goodfellas. instead  eastwood took his second oscar for best director after winning for unforgiven in 1993.  it was a wonderful adventure   eastwood said.  to make a picture in 37 days  it takes a well oiled machine. i am lucky to be here and lucky to be still working. i ve got a lot of stuff to do yet.  hilary swank picked up her second best actress oscar for playing a female boxer in million dollar baby  beating stars including annette bening  kate winslet and imelda staunton.  i don t know what i did in this life to deserve this   she told the audience.  i m just a girl from a trailer park who had a dream.  morgan freeman beat actors including clive owen  jamie foxx and alan alda to the prize for best supporting actor. he thanked eastwood and described the film as  a labour of love . this was the fourth nomination of his career but his first win. backstage  he said:  a lot of people say you re due - maybe you are  maybe you aren t - it s an accolade.  million dollar baby s success was the night s biggest surprise after the aviator seemed to have the advantage until the end of the ceremony.  cate blanchett  who won for playing late screen legend katharine hepburn in the aviator  said her award was  an indescribable surprise and honour . of hepburn  she said:  the longevity of her career is inspiring to everyone.  blanchett also paid tribute to the film s director martin scorsese  telling him:  i hope my son will marry your daughter.  the aviator s other awards came for cinematography  film editing  art direction and costume design. and jamie foxx  who had two nominations this year  paid tribute to the  beautiful legacy  of soul legend ray charles  who died last year  and thanked director taylor hackford.  you took a chance  man   he said.  that love for ray charles was deep down in the earth somewhere and you opened it up.  everybody s drowning in this love. thank you for taking a chance and thank you for waiting 15 years to get me to do it.   he broke down in tears when speaking about being whipped by his grandmother  whom he described as his first acting teacher  when he was young. in other awards  cartoon hit the incredibles won best animated feature and best sound editing. bittersweet comedy sideways won best adapted screenplay while the original screenplay prize went to eternal sunshine of the spotless mind. born into brothels  about the children of prostitutes in calcutta  was named best documentary  the sea inside was named best foreign language film and finding neverland got the accolade for best musical score. spider-man 2 triumphed in the visual effects category  ray won best sound mixing and lemony snicket s a series of unfortunate events picked up best make-up. former british tv presenter andrea arnold  who hosted children s shows motormouth and number 73 in the 1980s  won best short film for wasp. comedian chris rock  who hosted the ceremony for the first time  received a standing ovation before getting the show under way.
politics,sainsbury s labour election gift science minister lord sainsbury has made a £2m donation to the labour party for its general election fund.  it is the latest hefty donation to the party by the billionaire - he has contributed more than £10m since 1999. david sainsbury said he was pleased to give cash to a party that had the  vision  to deliver economic prosperity and better public services for britain. general secretary matt carter said it was  a fantastic gift  that would help labour  fight and win the election .   through the generosity of david sainsbury and other labour supporters  labour will be campaigning hard to take britain forward and to stop the tories taking us back   mr carter said. lord sainsbury added:  i am pleased to be able to make this contribution to the general election funds of the labour party because i believe that they are the only party that has the vision to deliver both economic prosperity and better public services for britain.  the 64-year-old latest donation follows a £2.5m gift to the party in 2003. lord sainsbury was created a life peer in 1997  a year before he was appointed as minister for science.
politics,sayeed to stand down as tory mp tory mp jonathan sayeed is to stand down on the grounds of ill health.  the decision comes after mr sayeed survived an attempt to de-select him in a row over allegations he had profited from private tours of parliament. the mid-bedfordshire mp had denied a claim that he was paid for guiding visitors around the palace of westminster. conservative leader michael howard has now accepted the mp s resignation  it has been announced.  mr sayeed was suspended from parliament for two weeks last month after the commons standards and privileges committee said his conduct had fallen  well below the standards expected . the conservative party had already been withdrawn the whip for a month. but his constituency association voted against a move to deselect him  with mr sayeed winning 173 of the 299 votes. after the vote  mr sayeed said only a fifth of association members had voted against him and he intended to get on with winning the election. but the vote prompted constituency association president sir stanley odell to resign in protest. the standards and privileges committee inquiry was launched after the sunday times alleged english manner limited charged clients for access to westminster through mr sayeed. mr sayeed had denied the claims  saying the suspension was  unjust and wrong  but he made an  unreserved  apology to mps in the commons chamber. he insisted that the committee s report had contained a  few errors of fact . mr sayeed has been mp for mid-bedfordshire since 1997. he represented bristol east from 1983 to 1992.
politics,howard hits back at mongrel jibe michael howard has said a claim by peter hain that the tory leader is acting like an  attack mongrel  shows labour is  rattled  by the opposition.  in an upbeat speech to his party s spring conference in brighton  he said labour s campaigning tactics proved the tories were hitting home. mr hain made the claim about tory tactics in the anti-terror bill debate.  something tells me that someone  somewhere out there is just a little bit rattled   mr howard said. mr hain  leader of the commons  told bbc radio four s today programme that mr howard s stance on the government s anti-terrorism legislation was putting the country at risk. he then accused the tory leader of behaving like an  attack mongrel  and  playing opposition for opposition sake .  mr howard told his party that labour would  do anything  say anything  claim anything to cling on to office at all costs .  so far this year they have compared me to fagin  to shylock and to a flying pig. this morning peter hain even called me a mongrel.  i don t know about you  but something tells me that someone  somewhere out there is just a little bit rattled.  environment secretary margaret beckett rejected mr howard s comment  telling radio 4 s pm programme that labour was not  rattled .  we have a very real duty to try to get people to focus on michael howard s record  what the proposals are that he is trying to put forward to the country and also the many examples we are seeing now of what we believe is really poor judgement on his behalf.   mr howard said tory policies on schools  taxes  immigration and crime were striking a chord with voters.   since the beginning of this year - election year - we ve been making the political weather   he told the party conference. mr howard denied he had been  playing politics  by raising the case of margaret dixon  whose operation had been cancelled seven times  which grabbed headlines for the party two weeks ago. and he hit back at labour claims he had used mrs dixon as a  human shield .  she s not a human shield mr blair  she s a human being.  mr howard said his party plans for immigration quotas  which have also been the focus of much media coverage  were not  racist  - just  common sense .  he pledged cleaner hospitals and better school discipline  with a promise to get rid of  political correctness  in the national curriculum and give everyone to the same chance of a  decent  state education as he had.  i come from an ordinary family. if the teenage michael howard were applying to cambridge today  gordon brown would love me.   and he stressed his party s commitment to cut taxes and red tape and increase the basic state pension in line with earnings. he finished with a personal appeal to party activists to go out and win the next election.  one day you will be able to tell your children and grandchildren as i will tell mine   i was there. i did my bit. i played my part. i helped to win that famous election - the election that transformed our country for the better .  labour election co-ordinator alan milburn said:  michael howard s speech today confirms what we have always said - that his only strategy is opportunism but he has no forward vision for the country. in reference to the appearance of mr howard s family on the conference stage with him  mr milburn said:  michael howard is perfectly entitled to pose with his family today.  but it is the hard working families across britain that will be damaged by his plan to cut £35bn from public spending.
entertainment,prince crowned  top music earner  prince earned more than any other pop star in 2004  beating artists such madonna and elton john in us magazine rolling stone s annual list.  the singer banked $56.5m (£30.4m) from concerts  album and publishing sales with his musicology tour and album. he kept madonna in second place  as she earned $54.9m (£29.5m) while embarking on her global re-invention tour. veterans simon and garfunkel were in 10th place  their comeback tour helping them earn $24.9m (£13.4m) last year.   prince returned to centre stage after a decade in the commercial wilderness   the magazine reported. the singer s 2004 tour took $90.3m (£48.5m) in ticket sales and he sold 1.9 million copies of his latest album musicology.  although she grossed more than prince last year  madonna remained in second place because of the  monumental  production costs of her tour. heavy metal band metallica s madly in anger with the world tour helped push their 2004 earnings up to $43.1m (£23.1m). they were ahead of sir elton john  who took fourth place and almost $42.7m (£23m) from performances including a debut on the las vegas strip. other seasoned performers in the list included rod stewart  whose sold-out shows and third volume of the great american songbook covers album helped net him £35m (£19m). the highest-ranking rap act in the list was 50 cent  who at number 19 took $24m (£13m) to the bank.
business,egypt to sell off state-owned bank the egyptian government is reportedly planning to privatise one of the country s big public banks.  an investment ministry official has told the reuters news agency that the bank of alexandria will be sold sometime in 2005. the move is seen as evidence of a new commitment by the government to reduce the size of public sector. the official said the government has not yet decided whether the sale will take the form of a public flotation.  the most important thing to decide now is the method - whether by selling shares to the public or to a strategic investor from abroad   he said.  analysts say the public-sector banks have suited the government s monetary  credit and exchange policies. nevertheless  the egyptian government has spoken for years about privatising one of the big four state banks - banque misr  national bank of egypt  banque du caire and bank of alexandria. it had been expected one of the smallest of the four big public banks - bank of alexandria or banque du caire - would be sold first. the announcement reinforces the hopes of investors and international financial bodies for a revival of egypt s privatisation programme. about 190 state-run companies and facilities were sold off from the early 1990s to 1997. the appointment of mahmoud mohieldin  a reform-minded technocrat  to the new post of investment minister in july was taken as a sign that more sell-offs were on the way. both the imf and world bank have urged egypt to remove obstacles to the development of the private sector which they say has a vital role to play in reducing poverty by expanding the economy.
tech,world tour for top video gamers two uk gamers are about to embark on a world tour as part of the most lucrative-ever global games tournament.  aaron foster and david treacy have won the right to take part in a tournament offering $1m in total prize money. the cash will be handed out over 10 separate competitions in a continent-hopping contest organised by the cyberathlete professional league. as part of their prize the pair will have their travel costs paid to ensure they can get to the different bouts.  the cpl world tour kicks off in mid-february and the first leg will be in istanbul. all ten bouts of the tournament will be played throughout 2005  each one in a different country. at each stop $50 000 in prize money will be up for grabs. the tournament champion for each leg of the cpl world tour will walk away with a $15 000 prize. the winner of the grand final will get a prize purse of $150 000 from a total pot of $500 000.  winners of each stage of the tour automatically get a place at the next stop. the world tour stops are open to any keen gamer that registers. online registration for the first stop opens this weekend. some pro-players are winning a spot at the tour destinations through qualifying events organised by cpl partners. winners at these qualifiers get seeded higher in the elimination parts of each tournament. mr foster and mr treacy get the chance to attend the world tour as members of the uk s four-kings gaming clan. towards the end of 2004 four-kings staged a series of online painkiller competitions to reveal the uk s top players of the pc game. the best eight players met face-to-face in a special elimination event in late december where mr foster and mr tracey proved their prowess at painkiller. as part of their prize the pair also get a contract with four-kings intel which is one of the uk s few pro-gaming teams.  there are a lot of people who take gaming very seriously and support their local or national team with the same passion as any other sport   said simon bysshe who filmed the event for four-kings and intel. more than 80 000 people have downloaded the movie of the tournament highlights.  professional gaming is here to stay and will only grow in popularity   he said.
tech,game firm holds  cast  auditions video game firm bioware is to hold open auditions for people to become cast members for future games.  the company  which makes role playing games such as knights of the old republic and neverwinter nights  is seeking people aged 18 to 99. the canada-based company says it was looking for  a wide variety of people to use as face models for characters . everyone chosen to appear in a video game will receive a performer s fee for the use of their image. the company is inviting people to come along to a shopping mall in west edmonton  alberta  on friday and saturday  bringing along a piece of photo identification.   there are hundreds and hundreds of characters in a typical bioware game   said shauna perry  bioware s audio and external resources producer.  those people live in any city and village and so we need ordinary people  people with interesting faces.  she added:  not everyone is a model in the world so we don t want just models in our games.  people chosen to appear in a game will have their head scanned in three dimensions. hundreds of photos of the person s head are taken so that a model of the head can be generated in 3d.  the 3d model will look exactly like the person - it s really quite incredible how detailed they are   said ms perry. she said chosen participants will have no control over how the image is used in a computer game.  we cannot give people any control over how the images are used.  but their face could be used in multiple games - so they could be the hero in one  the villain in another and just a merchant in a third.
politics,terror detainees win lords appeal detaining foreign terrorist suspects without trial breaks human rights laws  the uk s highest court has ruled.  in a blow to the government s anti-terror measures  the house of lords law lords ruled by an eight to one majority in favour of appeals by nine detainees. most of the men are being indefinitely held in belmarsh prison  south london. the law lords said the measures were incompatible with european human rights laws. the men will stay behind bars while ministers decide how to react. the ruling creates a major problem for charles clarke on his first day as home secretary following david blunkett s resignation. the liberal democrats say mr clarke should use the fact he is new to the job to take issue with a law established by his predecessor  david blunkett. belmarsh prison has been dubbed britain s guantanamo bay by civil rights campaigners opposed to the use of emergency anti-terror laws.  the detainees took their case to the house of lords after the court of appeal backed the home office s powers to hold them without limit or charge. the government opted out of part of the european convention on human rights concerning the right to a fair trial in order to bring in anti-terrorism legislation in response to the 11 september attacks in the us. any foreign national suspected of links with terrorism can be detained or can opt to be deported. however those detained cannot be deported if this would mean persecution in their homeland.  on thursday  senior law lord lord bingham said the rules were incompatible with the european convention on human rights as they allowed detentions  in a way that discriminates on the ground of nationality or immigration status . lord nicholls of birkenhead  in his ruling  said:  indefinite imprisonment without charge or trial is anathema in any country which observes the rule of law.  it deprives the detained person of the protection a criminal trial is intended to afford.   he said the weakness for the government s case was that it was trying to justify detention without trial for foreign suspects - but not for british suspects. lord hoffmann said:  the real threat to the life of the nation  in the sense of a people living in accordance with its traditional laws and political values  comes not from terrorism but from laws such as these.  but lord walker of gestingthorpe  the one law lord to oppose the appeal  said the anti-terror laws contained important safeguards against oppression.  in a statement  detainee  a  in woodhill prison said:  i hope now that the government will act upon this decision  scrap this illegal  law  and release me and the other internees to return to our families and loved ones.  the case was heard by a panel of nine law lords rather than the usual five because of the constitutional importance of the case. ben emmerson qc  representing seven of the detainees  said the men had already been in custody for nearly three years. he said they had been given no idea when  if ever  they would be released  had never been formally interviewed and there was no prospect they would ever be put on trial. when the men were first held  they took their cases to the special immigration appeals commission (siac). the commission ruled on 30 july  2002 that the anti-terror act unjustifiably discriminated against foreign nationals as british people could not be held in the same way. but that ruling was later overturned by the court of appeal who said there was a state of emergency threatening the life of the nation.
sport,hearts 2-1 livingston hearts wrapped up their scottish cup quarter-final tie against livingston with two goals in the first 10 minutes.  lee miller scored inside the opening 60 seconds  heading over colin meldrum and into the net from a jamie mcallister free kick. mcallister himself scored the second when he met saul mikoliunas  cross at the back post to put the game beyond the visitors. craig easton headed in a controversial goal after an hour but hearts held on. the opening goal came after gus bahoken had clumsily fouled miller 35 yards from goal. mcallister floated the free kick into the livi box and miller outjumped the static visiting defence to loop his header from 10 yards over meldrum. with just 10 minutes on the clock  the home side doubled their lead. mikoliunas sprinted down the right  crossed to the back post where mcallister raced in to head past meldrum. moments later miller came close to grabbing his second with a first-time drive from 16 yards  which skimmed the bar.  then mcallister picked up a pass from stephen simmons and drove an angled shot from 20 yards narrowly past meldrum s far post. the impressive mikoliunas twice went close before half time - a low drive was comfortably gathered by meldrum and then he curled a left-footed shot past the keeper s right-hand post. livi manager richard gough made three changes at the interval  bringing on defender goran stanic  midfielder gabor vincze  and striker ferenc horvath for bahoken  derek lilley and mark wilson. but  in the opening stages of the second period  little changed. however  the west lothian side gave themselves a lifeline with a controversial goal. eric deloumeaux sent jason dair away on the right and he tried to give the ball to mcpake  who looked to be in an offside position. the livi striker ignored the pass  however  and dair ran on to it and played easton in at the back post and he headed home from close range. the home side called for offside against mcpake but referee alan freeland ignored their claims and pointed to the centre-circle. livi went all out for the equaliser. in the 87th minute  burton o brien was hauled back at the edge of the box by neil macfarlane  but dair sent his shot just inches wide.  gordon  webster  miller  hartley  neilson  mcallister  simmons (macfarlane 64)  berra  burchill (wyness 82)  mikoliunas (cesnauskis 77)  wallace.  moilanen  kizys.  berra  webster.  miller 1  mcallister 10.  meldrum  mcnamee  bahoken (stanic 45)  deloumeaux  strong  dair  easton  mark wilson (vincze 45)  lilley (horvath 45)  o brien  mcpake.  mckenzie  hand.  : vincze  horvath.  easton 60.  9 796  a freeland
politics,economy focus for election battle britain s economic future will be at the heart of labour s poll campaign  chancellor gordon brown has said.  he was speaking after cabinet members held their last meeting at no 10 before the expected election announcement. he said voters would recognise that labour had brought stability and growth  and would continue to do so. meanwhile the tories outlined their plans to tackle  yob culture  and the lib dems gave more details about their proposals to replace council tax. earlier the archbishop of canterbury wrote to all three parties urging them not to fight the election by exploiting people s fears.  in an open letter  he called on them not to turn the election into a competition about who can most effectively frighten voters about terrorism  asylum  and crime. he said they should concentrate instead on issues such as the environment  international development and the arms trade  family policy  and the reform of the criminal justice system.  shadow foreign secretary michael ancram said:  we have fought a very positive campaign. i think he will want to look quite carefully at what jack straw said about michael howard.   in a speech to the foreign policy centre mr straw said of the tory leader:  he is clever  fluent and tactical  but he is not wise.  he lacks strategy and good judgment  and his quick temper and impetuosity too often get the better of him.  the foreign secretary told the bbc:  i was making the observation that because of michael howard s impetuosity you can get lurches of policy.  liberal democrat chairman matthew taylor said:  people are already really turned off by the kind of campaign the others are fighting and you will see us putting emphasis on some of these huge issues facing the world  particularly the environment.   labour s focus on the economy as their key message - came on the day a new report was published by the institute of fiscal studies  suggesting that household incomes have fallen for the first time in more than a decade. the ifs says the drop partly reflects measures announced in what it called the chancellor s tax-raising budget of 2002. the treasury dismissed the research as  complete rubbish . party election supremo alan milburn said the apparent drop in average incomes was because self-employed people had been affected by a  world downturn  which hit their profits. since 1997  the reported average take-home income had  risen by 20% in real terms  if you took out the self-employed  mr milburn told bbc radio 4 s today programme. mr brown also dismissed the figures insisting that the  typical family  has been much better off under labour.
tech,slow start to speedy net services faster broadband in the uk is becoming a reality as more internet providers offer super-fast services.  some lucky britons can already take advantage of uk online s 8 megabits per second service  which was launched in november 2004. bt retail has announced that it will trial the same speed service  with a national rollout by year end. other service providers are expected to follow suit and a glut of new voice and video services will follow.   if the bandwidth is there then isps will buy it   said jill finger  a research director at analyst firm idc. others will be watching bt retail s trials  which is initially for employees and later in the summer for customers  with interest. for bt retail  she said  the super-fast service could be a way of differentiating it from other players.  it has been losing market share and this could be one way of gaining some of that back   said ms finger. wanadoo is set to trial an 8mbps service in the summer and also plans to roll out unbundled services - which means it takes over the network from bt - which will provide speeds of up to 15mbps. there is no timetable for this at the moment. cable firms ntl and telewest are also bound to increase bandwidth at some time in the future and  according to an ntl spokesman  are in a better position than bt in the long term.  bt s network is limited compared to that of cable. with all the other services coming on stream such as video on demand  the question is will 8mbps be enough   he asked.
sport,bortolami predicts dour contest italy skipper marco bortolami believes saturday s six nations contest against scotland will be a scrappy encounter.  with both sides looking for their first win of the championship  the third-round game at murrayfield has been billed as a wooden-spoon decider. and bortolami feels the edinburgh contest could end up being a bruising battle of the packs.  it will not be a pretty game because both teams are desperate to gain their first win   said the lock forward. italy have only recorded three wins since they joined the six nations in 2000  but two of those have come against scotland. this year  italy opened up with a stubborn display against ireland but ended up losing 28-17.  however  they were thoroughly outplayed by an impressive welsh side in rome last time out. now the italians travel to edinburgh hoping to claim their first away win in the six nations.  scotland played extremely well against france in paris but not so well when ireland came to edinburgh   said bortolami.  we are still very disappointed with our last game against wales in rome and we are thoroughly determined to right the wrongs.  as a nation  our quest is to be respected as a team worthy of a place in this tournament and we can only do this by winning games.
politics,parties warned over  grey vote  political parties cannot afford to take older uk voters for granted in the coming election  says age concern.  a survey for the charity suggests 69% of over-55s say they always vote in a general election compared with just 17% of 18 to 24 year olds. charity boss gordon lishman said if a  decisive blow  was struck at the election it would be by older voters who could be relied on to turn out. a total of 3 028 adults aged 18 or over were interviewed for the study. mr lishman urged the next government to boost state pension.  he also called for measures to combat ageism and build effective public services to  support us all in an ageing society .  older people want to see manifesto commitments that will make a difference to their lives   mr lishman said.  political parties must wake up to the fact that unless they address the demands and concerns of older people they will not keep or attract their vote.  in the survey carried out by icm research  14% of people aged between 18 and 34 said they never voted in general elections. among the over-65s  70% said they would be certain to vote in an immediate election  compared with 39% of people under 55. age concern says the over-55s are  united around  key areas of policy they want the government to focus on. for 57%  pensions and the nhs were key issues  while the economy was important for a third  and tax was a crucial area for 25%.
